task,family,arm,budget,repeat,status,found,candidates_evaluated,search_depth,graph_steps,cpu_seconds,wall_seconds,hidden_checked,hidden_failures,success
numbers/maximum_control,maximum_control,reuse_ab,150000,0,step_budget,,10,2,150000,0.46277800000000013,0.4646084580000007,0,0,False
numbers/maximum_control,maximum_control,reuse_ab,150000,1,step_budget,,10,2,150000,0.47724700000000553,0.4800945839999997,0,0,False
numbers/maximum_control,maximum_control,reuse_a,150000,1,step_budget,,13,2,150000,0.5346920000000068,0.5369453330000056,0,0,False
numbers/maximum_control,maximum_control,baseline,150000,1,step_budget,,14,2,150000,0.5651960000000003,0.567286375000009,0,0,False
numbers/maximum_control,maximum_control,baseline,450000,0,step_budget,,34,2,450000,1.468814000000009,1.4803523750000096,0,0,False
numbers/maximum_control,maximum_control,reuse_a,450000,0,step_budget,,36,2,450000,1.490313999999998,1.4966684999999984,0,0,False
numbers/maximum_control,maximum_control,reuse_ab,450000,0,step_budget,,25,2,450000,1.2321179999999998,1.2373932920000072,0,0,False
numbers/maximum_control,maximum_control,reuse_ab,450000,1,step_budget,,25,2,450000,1.2256919999999951,1.2317485420000054,0,0,False
numbers/maximum_control,maximum_control,reuse_a,450000,1,step_budget,,36,2,450000,1.5163550000000043,1.5280964170000004,0,0,False
numbers/maximum_control,maximum_control,baseline,450000,1,step_budget,,34,2,450000,1.4447350000000085,1.4519026659999952,0,0,False
numbers/maximum_control,maximum_control,baseline,1350000,0,step_budget,,88,3,1350000,4.034807000000001,4.060740624999994,0,0,False
numbers/maximum_control,maximum_control,reuse_a,1350000,0,step_budget,,93,3,1350000,4.141764999999992,4.162824916000005,0,0,False
numbers/maximum_control,maximum_control,reuse_ab,1350000,0,step_budget,,60,2,1350000,3.3350140000000152,3.377706250000003,0,0,False
numbers/maximum_control,maximum_control,reuse_ab,1350000,1,step_budget,,60,2,1350000,3.2505350000000135,3.2687941249999994,0,0,False
numbers/maximum_control,maximum_control,reuse_a,1350000,1,step_budget,,93,3,1350000,4.288920999999988,4.348563958,0,0,False
numbers/maximum_control,maximum_control,baseline,1350000,1,step_budget,,88,3,1350000,4.08728499999998,4.121052625000004,0,0,False
products/selected_sum,selected_sum,reuse_a,150000,0,found,['bench_learned_selected_sum'],7,1,58846,0.23952500000001464,0.24033908299998075,40,0,True
products/selected_sum,selected_sum,reuse_ab,150000,0,found,['bench_learned_selected_sum'],7,1,87678,0.2811100000000124,0.2820134999999766,40,0,True
products/selected_sum,selected_sum,baseline,150000,0,step_budget,,14,2,150000,0.5603190000000211,0.5622560000000192,0,0,False
products/selected_sum,selected_sum,baseline,150000,1,step_budget,,14,2,150000,0.5616920000000221,0.5655610000000024,0,0,False
